name,abbrev,category,metric,value,index
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,50.7613040533,2020-06-02
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,40.6184156483,2020-06-03
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.0027958,2020-06-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,28.0133899383,2020-06-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,5.4838230817,2020-06-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-09
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,28.8666798583,2020-06-12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,2.8660864167,2020-06-14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.0467541817,2020-06-16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,13.34418354,2020-06-19
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,35.242159415,2020-06-20
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.73139993,2020-06-21
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.22101625,2020-06-22
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,26.57052825,2020-06-23
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,14.5996562833,2020-06-25
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,82.00029705,2020-06-26
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,24.5634280783,2020-06-28
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,4.859949575,2020-06-29
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-06-30
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,total,crps,29.6227444183,0
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,year,crps,29.6227444183,2020
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,21.4130217174,Jan
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,32.6464083084,Feb
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,36.6883046971,Mar
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,24.6596001152,Apr
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,26.4757305374,May
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,month,crps,32.7869957506,Jun
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,45.2691120685,10
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,47.4152732589,11
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,40.4616807887,12
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,46.6164395982,13
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,35.8572719018,14
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,23.2953764611,15
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,12.68150966,16
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,4.1935155067,17
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,2.0733615023,4
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,6.9297184872,5
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,14.4523080292,6
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,23.8294002232,7
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,35.0425194196,8
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,hour,crps,42.4271008929,9
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,8.179546475,2020-01-01
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,109.860080355,2020-01-02
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,0.027208,2020-01-03
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,6.19644985,2020-01-04
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,4.816575525,2020-01-05
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,0,2020-01-06
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,5.468911025,2020-01-07
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,61.668239625,2020-01-08
Albuquerque New Mexico Day Ahead GEFS ghi,Alb. New Mex. Day Ahe. GEFS ghi,date,crps,41.621322875,2020-01-09
